name,minutes,points,reb,asts,stl,blk
Zarko,1551,640,312,85,33,25
Barney,6814,2372,1888,380,0,0
Jason,9045,3368,2022,402,209,110
Michael,29716,8278,8646,1057,1050,725
Gerry,937,492,149,148,0,0
Jose,7921,2812,705,1959,266,21
Adrian,1603,390,496,33,56,41
Jim,3085,968,1052,278,0,1
Joe,13874,7127,2367,1257,0,0
Joe,11387,5492,1750,1390,385,45
Bill,8221,3440,1292,1036,0,0
Corky,10901,2896,1962,601,293,132
Demetrius,58,11,5,12,1,0
Tom,0,17,0,4,0,0
Rick,678,205,78,61,22,7
Ernie,0,1961,0,572,0,0
Mack,3326,1552,276,550,139,8
Mack,18267,10620,1647,3067,346,16
Dexter,885,370,167,58,24,6
Marcus,23227,8102,7426,1409,774,1996
Elden,25776,10805,6116,1199,702,1602
Tony,15180,7994,2117,1019,582,157
Larry,5771,3421,581,722,0,0
Larry,361,124,39,55,9,4
Frank,6901,2894,1721,372,0,0
Brian,5319,1872,928,385,254,57
Howie,382,170,39,57,0,0
Chet,0,256,0,17,0,0
Geno,16,8,1,1,0,0
Rick,1461,422,141,201,42,9
Don,1527,628,279,159,0,0
Al,279,72,73,13,7,11
Don,0,1447,15,324,0,0
Bob,244,69,45,16,0,0
Rodney,3417,1332,404,84,122,74
Bob,0,937,229,171,0,0
Antoine,19780,9176,3384,1086,361,925
Austin,19660,10473,1990,1878,433,66
Chris,4505,1988,658,294,93,46
Cory,624,171,49,66,21,7
Bob,1787,672,187,120,69,24
Darel,12338,7011,1187,896,0,0
Kenny,17167,7813,4999,923,484,296
M.l.,2174,906,459,224,127,44
M.l.,14216,5853,2595,1112,812,226
Joe Barry,22838,12455,5404,1264,687,1122
Matt,6276,2590,725,246,185,47
Jimmy,21,5,4,0,0,2
Anthony,10656,2670,1129,2100,528,92
Butch,6814,3137,546,683,321,43
Fred,18328,9271,2381,2122,371,65
George,5,3,0,1,0,0
George,16229,8680,3243,958,164,48
Howard,754,351,89,75,20,4
Jake,0,82,0,24,0,0
Maurice,110,42,11,4,0,0
Reggie,1459,471,164,206,58,8
Ron,449,176,64,34,19,10
Vince,29275,18254,4245,3315,969,602
Bill,27491,12713,6106,1390,460,668
Jay,192,76,58,11,0,0
Cornelius,49,21,16,1,2,1
Sam,52,20,19,0,0,0
Sam,29818,15635,3221,5939,1058,163
Harvey,13182,2335,3639,608,261,1226
Sid,40,6,4,1,0,0
Terry,13541,6520,3314,459,285,99
Kelvin,10622,2960,2874,244,292,685
Bobby,522,242,107,11,13,0
Duane,9409,2648,2273,243,220,767
Ron,669,84,168,19,12,44
Cedric,14712,8693,3258,723,450,182
John,185,37,11,20,7,0
Al,1151,1591,261,648,0,0
Lionel,433,111,31,51,13,0
Mario,2629,818,228,403,160,8
Bill,665,262,118,76,0,0
